recipe_id,ingredient_id,ingredient_name,quantity_g
1,1,Rolled oats (dry),90
1,51,Soy milk (fortified),250
1,43,Banana,120
1,22,Almonds,25
1,57,Maple syrup,15
2,1,Rolled oats (dry),90
2,66,Fortified oat drink,250
2,43,Banana,120
2,23,Walnuts,25
2,57,Maple syrup,15
3,1,Rolled oats (dry),90
3,52,Almond milk (fortified),250
3,43,Banana,120
3,25,Peanut butter,25
3,57,Maple syrup,15
4,1,Rolled oats (dry),90
4,51,Soy milk (fortified),250
4,43,Banana,120
4,26,Chia seeds,25
4,57,Maple syrup,15
5,1,Rolled oats (dry),90
5,70,Almond milk,250
5,43,Banana,120
5,28,Sunflower seeds,25
5,57,Maple syrup,15
6,1,Rolled oats (dry),90
6,51,Soy milk (fortified),250
6,44,Apple,120
6,22,Almonds,25
6,57,Maple syrup,15
7,1,Rolled oats (dry),90
7,51,Soy milk (fortified),250
7,44,Apple,120
7,23,Walnuts,25
7,57,Maple syrup,15
8,1,Rolled oats (dry),90
8,52,Almond milk (fortified),250
8,44,Apple,120
8,25,Peanut butter,25
8,57,Maple syrup,15
9,1,Rolled oats (dry),90
9,70,Almond milk,250
9,44,Apple,120
9,26,Chia seeds,25
9,57,Maple syrup,15
10,1,Rolled oats (dry),90
10,70,Almond milk,250
10,44,Apple,120
10,28,Sunflower seeds,25
10,57,Maple syrup,15
11,1,Rolled oats (dry),90
11,52,Almond milk (fortified),250
11,46,Blueberries,120
11,22,Almonds,25
11,57,Maple syrup,15
12,1,Rolled oats (dry),90
12,70,Almond milk,250
12,46,Blueberries,120
12,23,Walnuts,25
12,57,Maple syrup,15
13,1,Rolled oats (dry),90
13,51,Soy milk (fortified),250
13,46,Blueberries,120
13,25,Peanut butter,25
13,57,Maple syrup,15
14,1,Rolled oats (dry),90
14,75,Sweetened soya drink,250
14,46,Blueberries,120
14,26,Chia seeds,25
14,57,Maple syrup,15
15,1,Rolled oats (dry),90
15,66,Fortified oat drink,250
15,46,Blueberries,120
15,28,Sunflower seeds,25
15,57,Maple syrup,15
16,1,Rolled oats (dry),90
16,52,Almond milk (fortified),250
16,47,Strawberries,120
16,22,Almonds,25
16,57,Maple syrup,15
17,1,Rolled oats (dry),90
17,51,Soy milk (fortified),250
17,47,Strawberries,120
17,23,Walnuts,25
17,57,Maple syrup,15
18,1,Rolled oats (dry),90
18,75,Sweetened soya drink,250
18,47,Strawberries,120
18,25,Peanut butter,25
18,57,Maple syrup,15
19,1,Rolled oats (dry),90
19,66,Fortified oat drink,250
19,47,Strawberries,120
19,26,Chia seeds,25
19,57,Maple syrup,15
20,1,Rolled oats (dry),90
20,70,Almond milk,250
20,47,Strawberries,120
20,28,Sunflower seeds,25
20,57,Maple syrup,15
21,1,Rolled oats (dry),90
21,51,Soy milk (fortified),250
21,50,Mango,120
21,22,Almonds,25
21,57,Maple syrup,15
22,1,Rolled oats (dry),90
22,70,Almond milk,250
22,50,Mango,120
22,23,Walnuts,25
22,57,Maple syrup,15
23,1,Rolled oats (dry),90
23,75,Sweetened soya drink,250
23,50,Mango,120
23,25,Peanut butter,25
23,57,Maple syrup,15
24,1,Rolled oats (dry),90
24,70,Almond milk,250
24,50,Mango,120
24,26,Chia seeds,25
24,57,Maple syrup,15
25,1,Rolled oats (dry),90
25,70,Almond milk,250
25,50,Mango,120
25,28,Sunflower seeds,25
25,57,Maple syrup,15
26,1,Rolled oats (dry),90
26,70,Almond milk,250
26,45,Orange,120
26,22,Almonds,25
26,57,Maple syrup,15
27,1,Rolled oats (dry),90
27,51,Soy milk (fortified),250
27,45,Orange,120
27,23,Walnuts,25
27,57,Maple syrup,15
28,1,Rolled oats (dry),90
28,52,Almond milk (fortified),250
28,45,Orange,120
28,25,Peanut butter,25
28,57,Maple syrup,15
29,1,Rolled oats (dry),90
29,51,Soy milk (fortified),250
29,45,Orange,120
29,26,Chia seeds,25
29,57,Maple syrup,15
30,1,Rolled oats (dry),90
30,51,Soy milk (fortified),250
30,45,Orange,120
30,28,Sunflower seeds,25
30,57,Maple syrup,15
31,1,Rolled oats (dry),90
31,66,Fortified oat drink,250
31,48,Dates,120
31,22,Almonds,25
31,57,Maple syrup,15
32,1,Rolled oats (dry),90
32,66,Fortified oat drink,250
32,48,Dates,120
32,23,Walnuts,25
32,57,Maple syrup,15
33,1,Rolled oats (dry),90
33,66,Fortified oat drink,250
33,48,Dates,120
33,25,Peanut butter,25
33,57,Maple syrup,15
34,1,Rolled oats (dry),90
34,52,Almond milk (fortified),250
34,48,Dates,120
34,26,Chia seeds,25
34,57,Maple syrup,15
35,1,Rolled oats (dry),90
35,51,Soy milk (fortified),250
35,48,Dates,120
35,28,Sunflower seeds,25
35,57,Maple syrup,15
36,1,Rolled oats (dry),90
36,70,Almond milk,250
36,49,Raisins,120
36,22,Almonds,25
36,57,Maple syrup,15
37,1,Rolled oats (dry),90
37,52,Almond milk (fortified),250
37,49,Raisins,120
37,23,Walnuts,25
37,57,Maple syrup,15
38,1,Rolled oats (dry),90
38,75,Sweetened soya drink,250
38,49,Raisins,120
38,25,Peanut butter,25
38,57,Maple syrup,15
39,1,Rolled oats (dry),90
39,70,Almond milk,250
39,49,Raisins,120
39,26,Chia seeds,25
39,57,Maple syrup,15
40,1,Rolled oats (dry),90
40,66,Fortified oat drink,250
40,49,Raisins,120
40,28,Sunflower seeds,25
40,57,Maple syrup,15
41,53,Fortified breakfast cereal,60
41,51,Soy milk (fortified),250
41,43,Banana,100
41,22,Almonds,20
42,53,Fortified breakfast cereal,60
42,51,Soy milk (fortified),250
42,46,Blueberries,100
42,22,Almonds,20
43,53,Fortified breakfast cereal,60
43,51,Soy milk (fortified),250
43,47,Strawberries,100
43,22,Almonds,20
44,53,Fortified breakfast cereal,60
44,51,Soy milk (fortified),250
44,49,Raisins,100
44,22,Almonds,20
45,53,Fortified breakfast cereal,60
45,51,Soy milk (fortified),250
45,50,Mango,100
45,22,Almonds,20
46,54,Fortified gluten-free cereal,60
46,51,Soy milk (fortified),250
46,43,Banana,100
46,22,Almonds,20
47,54,Fortified gluten-free cereal,60
47,51,Soy milk (fortified),250
47,46,Blueberries,100
47,22,Almonds,20
48,54,Fortified gluten-free cereal,60
48,51,Soy milk (fortified),250
48,47,Strawberries,100
48,22,Almonds,20
49,54,Fortified gluten-free cereal,60
49,51,Soy milk (fortified),250
49,49,Raisins,100
49,22,Almonds,20
50,54,Fortified gluten-free cereal,60
50,51,Soy milk (fortified),250
50,50,Mango,100
50,22,Almonds,20
51,75,Sweetened soya drink,250
51,43,Banana,150
51,62,Pea protein powder,30
51,27,Flaxseed (ground),12
52,52,Almond milk (fortified),250
52,43,Banana,150
52,63,Soy protein powder,30
52,27,Flaxseed (ground),12
53,52,Almond milk (fortified),250
53,43,Banana,150
53,25,Peanut butter,25
53,27,Flaxseed (ground),12
54,70,Almond milk,250
54,43,Banana,150
54,18,Firm tofu,80
54,27,Flaxseed (ground),12
55,70,Almond milk,250
55,46,Blueberries,150
55,62,Pea protein powder,30
55,27,Flaxseed (ground),12
56,70,Almond milk,250
56,46,Blueberries,150
56,63,Soy protein powder,30
56,27,Flaxseed (ground),12
57,66,Fortified oat drink,250
57,46,Blueberries,150
57,25,Peanut butter,25
57,27,Flaxseed (ground),12
58,52,Almond milk (fortified),250
58,46,Blueberries,150
58,18,Firm tofu,80
58,27,Flaxseed (ground),12
59,51,Soy milk (fortified),250
59,47,Strawberries,150
59,62,Pea protein powder,30
59,27,Flaxseed (ground),12
60,51,Soy milk (fortified),250
60,47,Strawberries,150
60,63,Soy protein powder,30
60,27,Flaxseed (ground),12
61,52,Almond milk (fortified),250
61,47,Strawberries,150
61,25,Peanut butter,25
61,27,Flaxseed (ground),12
62,70,Almond milk,250
62,47,Strawberries,150
62,18,Firm tofu,80
62,27,Flaxseed (ground),12
63,75,Sweetened soya drink,250
63,50,Mango,150
63,62,Pea protein powder,30
63,27,Flaxseed (ground),12
64,70,Almond milk,250
64,50,Mango,150
64,63,Soy protein powder,30
64,27,Flaxseed (ground),12
65,70,Almond milk,250
65,50,Mango,150
65,25,Peanut butter,25
65,27,Flaxseed (ground),12
66,70,Almond milk,250
66,50,Mango,150
66,18,Firm tofu,80
66,27,Flaxseed (ground),12
67,18,Firm tofu,150
67,31,Spinach (raw),70
67,38,Mushroom (raw),70
67,56,Rapeseed (canola) oil,8
67,64,Nutritional yeast (fortified),8
67,5,Whole wheat bread,60
68,18,Firm tofu,150
68,32,Kale (raw),70
68,36,Tomato (raw),70
68,56,Rapeseed (canola) oil,8
68,64,Nutritional yeast (fortified),8
68,5,Whole wheat bread,60
69,18,Firm tofu,150
69,35,Red bell pepper (raw),70
69,37,Onion (raw),70
69,56,Rapeseed (canola) oil,8
69,64,Nutritional yeast (fortified),8
69,5,Whole wheat bread,60
70,26,Chia seeds,30
70,51,Soy milk (fortified),200
70,43,Banana,90
70,57,Maple syrup,12
71,26,Chia seeds,30
71,75,Sweetened soya drink,200
71,46,Blueberries,90
71,57,Maple syrup,12
72,26,Chia seeds,30
72,75,Sweetened soya drink,200
72,50,Mango,90
72,57,Maple syrup,12
73,26,Chia seeds,30
73,66,Fortified oat drink,200
73,47,Strawberries,90
73,57,Maple syrup,12
74,2,Brown rice (cooked),220
74,18,Firm tofu,165
74,39,Zucchini (cooked),90
74,32,Kale (raw),90
74,55,Olive oil,12
74,61,Soy sauce,15
75,2,Brown rice (cooked),220
75,19,Tempeh,165
75,33,Broccoli (cooked),90
75,36,Tomato (raw),90
75,55,Olive oil,12
75,30,Tahini,15
76,2,Brown rice (cooked),220
76,15,Chickpeas (cooked),165
76,40,Cauliflower (cooked),90
76,36,Tomato (raw),90
76,55,Olive oil,12
76,61,Soy sauce,15
77,2,Brown rice (cooked),220
77,14,Lentils (cooked),165
77,36,Tomato (raw),90
77,35,Red bell pepper (raw),90
77,55,Olive oil,12
77,30,Tahini,15
78,2,Brown rice (cooked),220
78,16,Black beans (cooked),165
78,40,Cauliflower (cooked),90
78,32,Kale (raw),90
78,55,Olive oil,12
78,30,Tahini,15
79,3,White rice (cooked),220
79,18,Firm tofu,165
79,32,Kale (raw),90
79,39,Zucchini (cooked),90
79,55,Olive oil,12
79,30,Tahini,15
80,3,White rice (cooked),220
80,19,Tempeh,165
80,39,Zucchini (cooked),90
80,33,Broccoli (cooked),90
80,55,Olive oil,12
80,61,Soy sauce,15
81,3,White rice (cooked),220
81,15,Chickpeas (cooked),165
81,34,Carrot (raw),90
